building,code,description,title,days,credits,time,instructor,school,collegeId,department
2436 MH,MATH24475,no description available,Calculus II,M-WTH---,4,1130-1PM,,,2,
ARR,MATH24475,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH24475,no description available,Calculus II,M------,4,6-8PM,,,2,
2347 MH,MATH27315,no description available,Calculus II,M------,4,1-230PM,,,2,
2353 MH,MATH27315,no description available,Calculus II,--W-F--,4,1-230PM,,,2,
ARR,MATH27315,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27315,no description available,Calculus II,M------,4,6-8PM,,,2,
2437 MH,MATH27316,no description available,Calculus II,M------,4,1-230PM,,,2,
2449 MH,MATH27316,no description available,Calculus II,-T-TH---,4,1-230PM,,,2,
ARR,MATH27316,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27316,no description available,Calculus II,M------,4,6-8PM,,,2,
3448 MH,MATH27317,no description available,Calculus II,-T--F--,4,1-230PM,,,2,
3314 MH,MATH27317,no description available,Calculus II,--W----,4,1-230PM,,,2,
ARR,MATH27317,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27317,no description available,Calculus II,M------,4,6-8PM,,,2,
2437 MH,MATH27318,no description available,Calculus II,-T-THF--,4,1-230PM,,,2,
ARR,MATH27318,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27318,no description available,Calculus II,M------,4,6-8PM,,,2,
3448 MH,MATH27319,no description available,Calculus II,M-WTH---,4,1-230PM,,,2,
ARR,MATH27319,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27319,no description available,Calculus II,M------,4,6-8PM,,,2,
2347 MH,MATH27321,no description available,Calculus II,-TW-F--,4,1-230PM,,,2,
ARR,MATH27321,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27321,no description available,Calculus II,M------,4,6-8PM,,,2,
2333 MH,MATH27320,no description available,Calculus II,-T-THF--,4,1-230PM,,,2,
ARR,MATH27320,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27320,no description available,Calculus II,M------,4,6-8PM,,,2,
2436 MH,MATH27322,no description available,Calculus II,M-WTH---,4,1-230PM,,,2,
ARR,MATH27322,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27322,no description available,Calculus II,M------,4,6-8PM,,,2,
2347 MH,MATH27323,no description available,Calculus II,M------,4,230-4PM,,,2,
2353 MH,MATH27323,no description available,Calculus II,--W-F--,4,230-4PM,,,2,
ARR,MATH27323,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27323,no description available,Calculus II,M------,4,6-8PM,,,2,
2437 MH,MATH27324,no description available,Calculus II,M------,4,230-4PM,,,2,
2449 MH,MATH27324,no description available,Calculus II,-T-TH---,4,230-4PM,,,2,
ARR,MATH27324,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27324,no description available,Calculus II,M------,4,6-8PM,,,2,
3448 MH,MATH27325,no description available,Calculus II,-T--F--,4,230-4PM,,,2,
3314 MH,MATH27325,no description available,Calculus II,--W----,4,230-4PM,,,2,
ARR,MATH27325,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27325,no description available,Calculus II,M------,4,6-8PM,,,2,
2437 MH,MATH27326,no description available,Calculus II,-T-THF--,4,230-4PM,,,2,
ARR,MATH27326,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27326,no description available,Calculus II,M------,4,6-8PM,,,2,
3448 MH,MATH27327,no description available,Calculus II,M-WTH---,4,230-4PM,,,2,
ARR,MATH27327,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH27327,no description available,Calculus II,M------,4,6-8PM,,,2,
2347 MH,MATH11653,no description available,Calculus II,-TW-F--,4,230-4PM,,,2,
ARR,MATH11653,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH11653,no description available,Calculus II,M------,4,6-8PM,,,2,
2333 MH,MATH24477,no description available,Calculus II,-T-THF--,4,230-4PM,,,2,
ARR,MATH24477,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH24477,no description available,Calculus II,M------,4,6-8PM,,,2,
2436 MH,MATH25549,no description available,Calculus II,M-WTH---,4,230-4PM,,,2,
ARR,MATH25549,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH25549,no description available,Calculus II,M------,4,6-8PM,,,2,
3314 MH,MATH24478,no description available,Calculus II,MT-TH---,4,4-530PM,,,2,
ARR,MATH24478,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH24478,no description available,Calculus II,M------,4,6-8PM,,,2,
2449 MH,MATH11648,no description available,Calculus II,M-WTH---,4,4-530PM,,,2,
ARR,MATH11648,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH11648,no description available,Calculus II,M------,4,6-8PM,,,2,
2437 MH,MATH25547,no description available,Calculus II,M-WTH---,4,4-530PM,,,2,
ARR,MATH25547,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH25547,no description available,Calculus II,M------,4,6-8PM,,,2,
3460 MH,MATH11640,no description available,Calculus II,M-WTH---,4,4-530PM,,,2,
ARR,MATH11640,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH11640,no description available,Calculus II,M------,4,6-8PM,,,2,
2353 MH,MATH30660,no description available,Calculus II,M-WTH---,4,4-530PM,,,2,
ARR,MATH30660,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH30660,no description available,Calculus II,M------,4,6-8PM,,,2,
3448 MH,MATH25546,no description available,Calculus II,-T-TH---,4,6-8PM,,,2,
ARR,MATH25546,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH25546,no description available,Calculus II,M------,4,6-8PM,,,2,
1096 EH,MATH24856,no description available,Calculus II,M-W-F--,4,9-11AM,Lofton,,2,
ARR,MATH24856,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH24856,no description available,Calculus II,M------,4,6-8PM,,,2,
1096 EH,MATH25761,no description available,Calculus II,M-W-F--,4,11-1PM,,,2,
ARR,MATH25761,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH25761,no description available,Calculus II,M------,4,6-8PM,,,2,
ARR,MATH18459,no description available,Houghton Calc Wkp I,M-W----,2,3-5PM,Conger,,2,
1866 EH,MATH18460,no description available,Houghton Calc Wkp I,-T-TH---,2,1-3PM,Conger,,2,
3088 EH,MATH11654,no description available,Interest Theory,M-W-F--,3,12-1PM,,,2,
1372 EH,MATH11655,no description available,App Honors Calc II,MTW-F--,4,10-11AM,Krasny,,2,
1372 EH,MATH11656,no description available,App Honors Calc II,MTW-F--,4,11-12PM,Krasny,,2,
2062 PALM,MATH25974,no description available,App Honors Calc II,MTW-F--,4,8-9AM,Xu,,2,
2062 PALM,MATH25975,no description available,App Honors Calc II,MTW-F--,4,9-10AM,Xu,,2,
1866 EH,MATH17364,no description available,Intro to Cryptology,M-W----,4,10-1130AM,Gazaki,,2,
B745 EH,MATH17364,no description available,Intro to Cryptology,---TH---,4,10-1130AM,,,2,
1866 EH,MATH19371,no description available,Intro to Cryptology,M-W----,4,1130-1PM,Gazaki,,2,
B745 EH,MATH19371,no description available,Intro to Cryptology,---TH---,4,1130-1PM,,,2,
2336 MH,MATH11657,no description available,Honors Calc I,M-W-F--,4,830-10AM,Schneider,,2,
1650 CHEM,MATH11657,no description available,Honors Calc I,-T-----,4,11-12PM,,,2,
G168 AH,MATH23387,no description available,Honors Calc I,M-W-F--,4,230-4PM,Schneider,,2,
A859 CHEM-TBLC,MATH16368,no description available,App Linear Algebra,M-W-F--,4,1-2PM,Strauss,,2,
269 WEISER,MATH16368,no description available,App Linear Algebra,-T-----,4,1-2PM,,,2,
ARR,MATH16368,no description available,App Linear Algebra,M------,4,6-8PM,,,2,
ARR,MATH16368,no description available,App Linear Algebra,--W----,4,6-8PM,,,2,
A859 CHEM-TBLC,MATH16369,no description available,App Linear Algebra,M-W-F--,4,2-3PM,Strauss,,2,
269 WEISER,MATH16369,no description available,App Linear Algebra,-T-----,4,2-3PM,,,2,
ARR,MATH16369,no description available,App Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH16369,no description available,App Linear Algebra,M------,4,6-8PM,,,2,
A859 CHEM-TBLC,MATH22448,no description available,App Linear Algebra,M-W-F--,4,3-4PM,Levinson,,2,
269 WEISER,MATH22448,no description available,App Linear Algebra,-T-----,4,3-4PM,,,2,
ARR,MATH22448,no description available,App Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH22448,no description available,App Linear Algebra,M------,4,6-8PM,,,2,
1068 EH,MATH27012,no description available,App Linear Algebra,-T-TH---,4,4-6PM,Prasanna,,2,
ARR,MATH27012,no description available,App Linear Algebra,M------,4,6-8PM,,,2,
ARR,MATH27012,no description available,App Linear Algebra,--W----,4,6-8PM,,,2,
269 WEISER,MATH23452,no description available,App Linear Algebra,-T-TH---,4,4-6PM,,,2,
ARR,MATH23452,no description available,App Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH23452,no description available,App Linear Algebra,M------,4,6-8PM,,,2,
1360 EH,MATH11658,no description available,Calculus III,M-W-F--,4,8-9AM,Viswanath,,2,
ARR,MATH11658,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH11658,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B737 EH,MATH11659,no description available,Calculus III,-T-----,4,8-9AM,,,2,
B737 EH,MATH11660,no description available,Calculus III,-T-----,4,9-10AM,,,2,
B737 EH,MATH11661,no description available,Calculus III,-T-----,4,1-2PM,,,2,
B737 EH,MATH11662,no description available,Calculus III,-T-----,4,2-3PM,,,2,
1640 CHEM,MATH21280,no description available,Calculus III,M-W-F--,4,8-9AM,,,2,
ARR,MATH21280,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH21280,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B735 EH,MATH21281,no description available,Calculus III,-T-----,4,8-9AM,,,2,
B735 EH,MATH21282,no description available,Calculus III,-T-----,4,9-10AM,,,2,
B735 EH,MATH21283,no description available,Calculus III,-T-----,4,12-1PM,,,2,
B735 EH,MATH21284,no description available,Calculus III,-T-----,4,1-2PM,,,2,
1360 EH,MATH11663,no description available,Calculus III,M-W-F--,4,9-10AM,Viswanath,,2,
ARR,MATH11663,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH11663,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B743 EH,MATH11664,no description available,Calculus III,-T-----,4,8-9AM,,,2,
B743 EH,MATH11665,no description available,Calculus III,-T-----,4,9-10AM,,,2,
B743 EH,MATH11666,no description available,Calculus III,-T-----,4,1-2PM,,,2,
B743 EH,MATH11667,no description available,Calculus III,-T-----,4,2-3PM,,,2,
1360 EH,MATH11668,no description available,Calculus III,M-W-F--,4,10-11AM,Bloch,,2,
ARR,MATH11668,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH11668,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B737 EH,MATH11669,no description available,Calculus III,---TH---,4,8-9AM,,,2,
B737 EH,MATH11670,no description available,Calculus III,---TH---,4,9-10AM,,,2,
B737 EH,MATH11671,no description available,Calculus III,---TH---,4,1-2PM,,,2,
B737 EH,MATH11672,no description available,Calculus III,---TH---,4,2-3PM,,,2,
1360 EH,MATH11673,no description available,Calculus III,M-W-F--,4,11-12PM,Ruan,,2,
ARR,MATH11673,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH11673,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B737 EH,MATH11674,no description available,Calculus III,---TH---,4,10-11AM,,,2,
B737 EH,MATH11675,no description available,Calculus III,---TH---,4,11-12PM,,,2,
B737 EH,MATH11676,no description available,Calculus III,---TH---,4,3-4PM,,,2,
B737 EH,MATH11677,no description available,Calculus III,---TH---,4,4-5PM,,,2,
1360 EH,MATH11678,no description available,Calculus III,M-W-F--,4,12-1PM,Ruan,,2,
ARR,MATH11678,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH11678,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B737 EH,MATH11679,no description available,Calculus III,-T-----,4,10-11AM,,,2,
B737 EH,MATH11680,no description available,Calculus III,-T-----,4,11-12PM,,,2,
B737 EH,MATH11681,no description available,Calculus III,-T-----,4,3-4PM,,,2,
B737 EH,MATH11682,no description available,Calculus III,-T-----,4,4-5PM,,,2,
1360 EH,MATH11683,no description available,Calculus III,M-W-F--,4,1-2PM,Jonsson,,2,
ARR,MATH11683,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH11683,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B735 EH,MATH11684,no description available,Calculus III,---TH---,4,8-9AM,,,2,
B735 EH,MATH11685,no description available,Calculus III,---TH---,4,9-10AM,,,2,
B735 EH,MATH11686,no description available,Calculus III,---TH---,4,1-2PM,,,2,
B735 EH,MATH11687,no description available,Calculus III,---TH---,4,2-3PM,,,2,
1360 EH,MATH11688,no description available,Calculus III,M-W-F--,4,2-3PM,Zaya,,2,
ARR,MATH11688,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH11688,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B735 EH,MATH11689,no description available,Calculus III,---TH---,4,10-11AM,,,2,
B735 EH,MATH11690,no description available,Calculus III,---TH---,4,11-12PM,,,2,
B735 EH,MATH11691,no description available,Calculus III,---TH---,4,3-4PM,,,2,
B735 EH,MATH11692,no description available,Calculus III,---TH---,4,4-5PM,,,2,
1360 EH,MATH11693,no description available,Calculus III,M-W-F--,4,3-4PM,Zaya,,2,
ARR,MATH11693,no description available,Calculus III,---TH---,4,6-8PM,,,2,
ARR,MATH11693,no description available,Calculus III,---TH---,4,6-8PM,,,2,
B735 EH,MATH11694,no description available,Calculus III,-T-----,4,10-11AM,,,2,
B735 EH,MATH11695,no description available,Calculus III,-T-----,4,11-12PM,,,2,
B735 EH,MATH11696,no description available,Calculus III,-T-----,4,3-4PM,,,2,
B735 EH,MATH11697,no description available,Calculus III,-T-----,4,4-5PM,,,2,
2260 USB,MATH11698,no description available,Intro Diff Equat,M-W-F--,4,9-10AM,Bilman,,2,
ARR,MATH11698,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
ARR,MATH11698,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
B745 EH,MATH11699,no description available,Intro Diff Equat,---TH---,4,8-9AM,,,2,
B745 EH,MATH11700,no description available,Intro Diff Equat,---TH---,4,9-10AM,,,2,
B745 EH,MATH11701,no description available,Intro Diff Equat,---TH---,4,1-2PM,,,2,
B745 EH,MATH11702,no description available,Intro Diff Equat,---TH---,4,2-3PM,,,2,
2260 USB,MATH11703,no description available,Intro Diff Equat,M-W-F--,4,10-11AM,Bilman,,2,
ARR,MATH11703,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
ARR,MATH11703,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
B743 EH,MATH11704,no description available,Intro Diff Equat,---TH---,4,10-11AM,,,2,
B743 EH,MATH11705,no description available,Intro Diff Equat,---TH---,4,11-12PM,,,2,
B745 EH,MATH11706,no description available,Intro Diff Equat,---TH---,4,3-4PM,,,2,
B745 EH,MATH11707,no description available,Intro Diff Equat,---TH---,4,4-5PM,,,2,
2260 USB,MATH11708,no description available,Intro Diff Equat,M-W-F--,4,11-12PM,Barrett,,2,
ARR,MATH11708,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
ARR,MATH11708,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
B745 EH,MATH11709,no description available,Intro Diff Equat,-T-----,4,8-9AM,,,2,
B745 EH,MATH11710,no description available,Intro Diff Equat,-T-----,4,9-10AM,,,2,
B745 EH,MATH11711,no description available,Intro Diff Equat,-T-----,4,1-2PM,,,2,
B745 EH,MATH11712,no description available,Intro Diff Equat,-T-----,4,2-3PM,,,2,
2260 USB,MATH11713,no description available,Intro Diff Equat,M-W-F--,4,12-1PM,Larose,,2,
ARR,MATH11713,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
ARR,MATH11713,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
B735 EH,MATH11714,no description available,Intro Diff Equat,-T-----,4,2-3PM,,,2,
B745 EH,MATH11715,no description available,Intro Diff Equat,-T-----,4,3-4PM,,,2,
B745 EH,MATH11716,no description available,Intro Diff Equat,-T-----,4,6-7PM,,,2,
B745 EH,MATH11717,no description available,Intro Diff Equat,-T-----,4,7-8PM,,,2,
2260 USB,MATH11718,no description available,Intro Diff Equat,M-W-F--,4,1-2PM,Miller,,2,
ARR,MATH11718,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
ARR,MATH11718,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
B743 EH,MATH11719,no description available,Intro Diff Equat,---TH---,4,2-3PM,,,2,
B743 EH,MATH11720,no description available,Intro Diff Equat,---TH---,4,3-4PM,,,2,
B743 EH,MATH11721,no description available,Intro Diff Equat,---TH---,4,9-10AM,,,2,
B743 EH,MATH11722,no description available,Intro Diff Equat,---TH---,4,8-9AM,,,2,
2260 USB,MATH11723,no description available,Intro Diff Equat,M-W-F--,4,2-3PM,Miller,,2,
ARR,MATH11723,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
ARR,MATH11723,no description available,Intro Diff Equat,---TH---,4,8-10PM,,,2,
B745 EH,MATH11724,no description available,Intro Diff Equat,-T-----,4,10-11AM,,,2,
B743 EH,MATH11725,no description available,Intro Diff Equat,-T-----,4,11-12PM,,,2,
B743 EH,MATH11726,no description available,Intro Diff Equat,-T-----,4,3-4PM,,,2,
B745 EH,MATH11727,no description available,Intro Diff Equat,-T-----,4,4-5PM,,,2,
B735 EH,MATH11728,no description available,Linear Algebra,M-W-F--,4,830-10AM,,,2,
ARR,MATH11728,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH11728,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B737 EH,MATH11729,no description available,Linear Algebra,M-W-F--,4,830-10AM,,,2,
ARR,MATH11729,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH11729,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B745 EH,MATH27009,no description available,Linear Algebra,M-W-F--,4,1-230PM,,,2,
ARR,MATH27009,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH27009,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B737 EH,MATH16534,no description available,Linear Algebra,M-W-F--,4,10-1130AM,,,2,
ARR,MATH16534,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH16534,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B743 EH,MATH17608,no description available,Linear Algebra,M-W-F--,4,10-1130AM,,,2,
ARR,MATH17608,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH17608,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B743 EH,MATH27008,no description available,Linear Algebra,M-W-F--,4,1130-1PM,,,2,
ARR,MATH27008,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH27008,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B737 EH,MATH22752,no description available,Linear Algebra,M-W-F--,4,1130-1PM,,,2,
ARR,MATH22752,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH22752,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B745 EH,MATH23871,no description available,Linear Algebra,M-W-F--,4,1130-1PM,,,2,
ARR,MATH23871,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH23871,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B735 EH,MATH25499,no description available,Linear Algebra,M-W-F--,4,1-230PM,,,2,
ARR,MATH25499,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH25499,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B737 EH,MATH25500,no description available,Linear Algebra,M-W-F--,4,1-230PM,,,2,
ARR,MATH25500,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH25500,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B735 EH,MATH25501,no description available,Linear Algebra,M-W-F--,4,230-4PM,,,2,
ARR,MATH25501,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH25501,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B737 EH,MATH25502,no description available,Linear Algebra,M-W-F--,4,230-4PM,,,2,
ARR,MATH25502,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH25502,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B743 EH,MATH27007,no description available,Linear Algebra,M-W-F--,4,830-10AM,,,2,
ARR,MATH27007,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH27007,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B735 EH,MATH22018,no description available,Linear Algebra,M-W-F--,4,1130-1PM,,,2,
ARR,MATH22018,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH22018,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
B745 EH,MATH11730,no description available,Linear Algebra,M-W-F--,4,10-1130AM,,,2,
ARR,MATH11730,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
ARR,MATH11730,no description available,Linear Algebra,--W----,4,6-8PM,,,2,
1372 EH,MATH17365,no description available,Honors Calc III,M-W-F--,4,230-4PM,Kadakia,,2,
271 WEISER,MATH11731,no description available,Honors Calc III,M-W-F--,4,11-12PM,Tobasco,,2,
142 LORCH,MATH11731,no description available,Honors Calc III,-T-----,4,11-12PM,,,2,
1068 EH,MATH11732,no description available,Honors Calc III,M-W-F--,4,12-1PM,Tobasco,,2,
3330 MH,MATH11732,no description available,Honors Calc III,-T-----,4,12-1PM,,,2,
B2560 BUS,MATH31468,no description available,Hnr Diff Equations,M-W-F--,3,230-4PM,,,2,
3096 EH,MATH28696,no description available,Problem Seminar,--W----,1,4-5PM,Montgomery,,2,
269 WEISER,MATH11733,no description available,Honors Math I,M-W-F--,4,230-4PM,DeBacker,,2,
3096 EH,MATH18419,no description available,Appl Mod Algebra,-T-TH---,3,10-1130AM,Koch,,2,
4088 EH,MATH11734,no description available,Differential Equatn,M-W-F--,3,1-2PM,Elling,,2,
4088 EH,MATH21322,no description available,Differential Equatn,M-W-F--,3,2-3PM,Elling,,2,
2455 MH,MATH19656,no description available,Princ of Analysis,M-W----,3,230-4PM,Hubbard,,2,
2166 DOW,MATH11735,no description available,Num Meth Engr,-T-TH---,3,12-130PM,Esedoglu,,2,
2166 DOW,MATH16498,no description available,Num Meth Engr,-T-TH---,3,1030-12PM,Esedoglu,,2,
1033 DENT,MATH11736,no description available,Elem Sch Teach,M-W----,3,1-230PM,Vlamis,,2,
1033 DENT,MATH11737,no description available,Elem Sch Teach,M-W----,3,230-4PM,Vlamis,,2,
3330 MH,MATH11738,no description available,Honors Analysis I,M-W-F--,4,830-10AM,Speyer,,2,
ARR,MATH11739,no description available,Independent Reading,-------,1.00-6.00,ARR,,,2,
ARR,MATH32828,no description available,Independent Reading,-------,1.00-6.00,ARR,DeBacker,,2,
335 WH,MATH11740,no description available,Interm Diff Eqns,M-W----,3,830-10AM,Deegan,,2,
4096 EH,MATH11741,no description available,Intro Mod Algebra,M-W-F--,3,9-10AM,Smith,,2,
3088 EH,MATH11742,no description available,Intro Mod Algebra,M-W-F--,3,10-11AM,Smith,,2,
2866 EH,MATH11743,no description available,Matrix Algebra I,M-W-F--,3,10-11AM,Kriz,,2,
1084 EH,MATH11744,no description available,Matrix Algebra I,M-W-F--,3,9-10AM,Griess Jr,,2,
4096 EH,MATH11745,no description available,Matrix Algebra I,M-W-F--,3,12-1PM,,,2,
3088 EH,MATH11746,no description available,Matrix Algebra I,M-W-F--,3,2-3PM,Stembridge,,2,
1024 FXB,MATH11747,no description available,Lin Sp Matrx Thy,-T-TH---,3,830-10AM,Bank,,2,
1311 EECS,MATH11748,no description available,Lin Sp Matrx Thy,-T-TH---,3,12-130PM,Bank,,2,
4153 USB,MATH23364,no description available,Adv Linear Algebra,M-W-F--,3,10-11AM,Griess Jr,,2,
1372 EH,MATH19651,no description available,Math of Finance,-T-TH---,3,830-10AM,Stoev,,2,
3088 EH,MATH19652,no description available,Math of Finance,-T-TH---,3,10-1130AM,Stoev,,2,
1084 EH,MATH19941,no description available,Math of Finance,-T-TH---,3,1130-1PM,,,2,
2866 EH,MATH18099,no description available,Cmp Int&Life Ins,-T-TH---,3,1-230PM,Natarajan,,2,
3088 EH,MATH16516,no description available,Cmp Int&Life Ins,-T-TH---,3,230-4PM,Natarajan,,2,
1528 CCL,MATH11749,no description available,Intro Probabil,M-W-F--,3,9-10AM,Burns Jr,,2,
1068 EH,MATH11750,no description available,Intro Probabil,M-W-F--,3,9-10AM,Montgomery,,2,
260 WEISER,MATH11751,no description available,Intro Probabil,M-W----,3,4-530PM,Slomka,,2,
1084 EH,MATH11752,no description available,Intro Probabil,M-W-F--,3,1-2PM,Fomin,,2,
1068 EH,MATH11753,no description available,Intro Probabil,M-W-F--,3,11-12PM,Derksen,,2,
1068 EH,MATH16354,no description available,Intro Probabil,-T-TH---,3,10-1130AM,Green,,2,
1372 EH,MATH17066,no description available,Intro Probabil,-T-TH---,3,230-4PM,Green,,2,
1084 EH,MATH18575,no description available,Intro Probabil,M-W-F--,3,12-1PM,Fomin,,2,
ARR,MATH16965,no description available,Internship,-------,1,ARR,,,2,
373 LORCH,MATH11754,no description available,Geom-Teachers,M-W----,3,1-230PM,White,,2,
2166 DOW,MATH11755,no description available,Adv Math Engrs I,-T-TH---,4,830-1030AM,,,2,
4096 EH,MATH11756,no description available,Adv Calculus I,M-W-F--,3,10-11AM,Ji,,2,
4096 EH,MATH16581,no description available,Adv Calculus I,M-W-F--,3,11-12PM,Ji,,2,
2866 EH,MATH20900,no description available,Adv Calculus I,M-W-F--,3,1-2PM,Scott,,2,
2866 EH,MATH24255,no description available,Adv Calculus I,M-W-F--,3,2-3PM,Canary,,2,
1018 DOW,MATH24305,no description available,Bndry Val Prob-Pde,-T-TH---,3,10-1130AM,Edholm,,2,
1018 DOW,MATH11757,no description available,Bndry Val Prob-Pde,-T-TH---,3,12-130PM,Edholm,,2,
B735 EH,MATH14733,no description available,Math Model Biol,M-W-F--,3,10-11AM,Forger,,2,
3088 EH,MATH18057,no description available,Math Model Biol,M-W-F--,3,1-2PM,Jackson,,2,
B743 EH,MATH18057,no description available,Math Model Biol,M---F--,3,1-2PM,,,2,
1339 MH,MATH21755,no description available,Intro Combinatorics,-T-TH---,3,1-230PM,Lam,,2,
2147 GGBL,MATH14734,no description available,Intr Num Meth,-T-TH---,3,830-10AM,Karni,,2,
2866 EH,MATH14735,no description available,Intr Num Meth,-T-TH---,3,230-4PM,Karni,,2,
2866 EH,MATH25467,no description available,Intr Num Meth,-T-TH---,3,430-6PM,,,2,
1505 CCL,MATH21756,no description available,Num Meth Fin Appl,-T-TH---,3,830-10AM,,,2,
4096 EH,MATH25395,no description available,Num Meth Fin Appl,-T-TH---,3,1130-1PM,,,2,
3096 EH,MATH11758,no description available,Intro Math Logic,M-W-F--,3,12-1PM,Blass,,2,
1084 EH,MATH25315,no description available,Concepts Basic,M-W----,3,7-830PM,Boland,,2,
4096 EH,MATH20779,no description available,Intro to Topology,-T-TH---,3,1-230PM,Koch,,2,
2752 SSWB,MATH20901,no description available,Honors Algebra I,M-W-F--,3,1-2PM,Snowden,,2,
373 LORCH,MATH11759,no description available,Topics Elem Math,M-W----,3,230-4PM,White,,2,
ARR,MATH11760,no description available,Independent Reading,-------,1.00-4.00,ARR,,,2,
